date,sku_id,on_hand_units,on_order_units
2023-01-02,SKU-001,400,50
2023-01-02,SKU-002,320,50
2023-01-02,SKU-003,200,50
2023-01-09,SKU-001,395,50
2023-01-09,SKU-002,316,50
2023-01-09,SKU-003,197,50
2023-01-16,SKU-001,390,50
2023-01-16,SKU-002,312,50
2023-01-16,SKU-003,194,50
2023-01-23,SKU-001,385,50
2023-01-23,SKU-002,308,50
2023-01-23,SKU-003,191,50
2023-01-30,SKU-001,380,50
2023-01-30,SKU-002,304,50
2023-01-30,SKU-003,188,50
2023-02-06,SKU-001,375,50
2023-02-06,SKU-002,300,50
2023-02-06,SKU-003,185,50
2023-02-13,SKU-001,370,50
2023-02-13,SKU-002,296,50
2023-02-13,SKU-003,182,50
2023-02-20,SKU-001,365,50
2023-02-20,SKU-002,292,50
2023-02-20,SKU-003,179,50
2023-02-27,SKU-001,360,50
2023-02-27,SKU-002,288,50
2023-02-27,SKU-003,176,50
2023-03-06,SKU-001,355,50
2023-03-06,SKU-002,284,50
2023-03-06,SKU-003,173,50
2023-03-13,SKU-001,350,50
2023-03-13,SKU-002,280,50
2023-03-13,SKU-003,170,50
2023-03-20,SKU-001,345,50
2023-03-20,SKU-002,276,50
2023-03-20,SKU-003,167,50
2023-03-27,SKU-001,340,50
2023-03-27,SKU-002,272,50
2023-03-27,SKU-003,164,50
2023-04-03,SKU-001,335,50
2023-04-03,SKU-002,268,50
2023-04-03,SKU-003,161,50
2023-04-10,SKU-001,330,50
2023-04-10,SKU-002,264,50
2023-04-10,SKU-003,158,50
2023-04-17,SKU-001,325,50
2023-04-17,SKU-002,260,50
2023-04-17,SKU-003,155,50
2023-04-24,SKU-001,320,50
2023-04-24,SKU-002,256,50
2023-04-24,SKU-003,152,50
2023-05-01,SKU-001,315,50
2023-05-01,SKU-002,252,50
2023-05-01,SKU-003,149,50
2023-05-08,SKU-001,310,50
2023-05-08,SKU-002,248,50
2023-05-08,SKU-003,146,50
2023-05-15,SKU-001,305,50
2023-05-15,SKU-002,244,50
2023-05-15,SKU-003,143,50
2023-05-22,SKU-001,300,50
2023-05-22,SKU-002,240,50
2023-05-22,SKU-003,140,50
2023-05-29,SKU-001,295,50
2023-05-29,SKU-002,236,50
2023-05-29,SKU-003,137,50
2023-06-05,SKU-001,290,50
2023-06-05,SKU-002,232,50
2023-06-05,SKU-003,134,50
2023-06-12,SKU-001,285,50
2023-06-12,SKU-002,228,50
2023-06-12,SKU-003,131,50
2023-06-19,SKU-001,280,50
2023-06-19,SKU-002,224,50
2023-06-19,SKU-003,128,50
2023-06-26,SKU-001,275,50
2023-06-26,SKU-002,220,50
2023-06-26,SKU-003,125,50
2023-07-03,SKU-001,270,50
2023-07-03,SKU-002,216,50
2023-07-03,SKU-003,122,50
2023-07-10,SKU-001,265,50
2023-07-10,SKU-002,212,50
2023-07-10,SKU-003,119,50
2023-07-17,SKU-001,260,50
2023-07-17,SKU-002,208,50
2023-07-17,SKU-003,116,50
2023-07-24,SKU-001,255,50
2023-07-24,SKU-002,204,50
2023-07-24,SKU-003,113,50
