po_id,sku_id,order_date,expected_receipt_date,actual_receipt_date,units_ordered
PO-SKU-001-0,SKU-001,2023-01-02,2023-01-12,2023-01-12,200
PO-SKU-002-0,SKU-002,2023-01-02,2023-01-12,2023-01-12,150
PO-SKU-003-0,SKU-003,2023-01-02,2023-01-12,2023-01-12,120
PO-SKU-001-1,SKU-001,2023-01-16,2023-01-26,2023-01-26,200
PO-SKU-002-1,SKU-002,2023-01-16,2023-01-26,2023-01-26,150
PO-SKU-003-1,SKU-003,2023-01-16,2023-01-26,2023-01-26,120
PO-SKU-001-2,SKU-001,2023-01-30,2023-02-09,2023-02-09,200
PO-SKU-002-2,SKU-002,2023-01-30,2023-02-09,2023-02-09,150
PO-SKU-003-2,SKU-003,2023-01-30,2023-02-09,2023-02-09,120
PO-SKU-001-3,SKU-001,2023-02-13,2023-02-23,2023-02-23,200
PO-SKU-002-3,SKU-002,2023-02-13,2023-02-23,2023-02-23,150
PO-SKU-003-3,SKU-003,2023-02-13,2023-02-23,2023-02-23,120
PO-SKU-001-4,SKU-001,2023-02-27,2023-03-09,2023-03-09,200
PO-SKU-002-4,SKU-002,2023-02-27,2023-03-09,2023-03-09,150
PO-SKU-003-4,SKU-003,2023-02-27,2023-03-09,2023-03-09,120
PO-SKU-001-5,SKU-001,2023-03-13,2023-03-23,2023-03-23,200
PO-SKU-002-5,SKU-002,2023-03-13,2023-03-23,2023-03-23,150
PO-SKU-003-5,SKU-003,2023-03-13,2023-03-23,2023-03-23,120
PO-SKU-001-6,SKU-001,2023-03-27,2023-04-06,2023-04-06,200
PO-SKU-002-6,SKU-002,2023-03-27,2023-04-06,2023-04-06,150
PO-SKU-003-6,SKU-003,2023-03-27,2023-04-06,2023-04-06,120
PO-SKU-001-7,SKU-001,2023-04-10,2023-04-20,2023-04-20,200
PO-SKU-002-7,SKU-002,2023-04-10,2023-04-20,2023-04-20,150
PO-SKU-003-7,SKU-003,2023-04-10,2023-04-20,2023-04-20,120
PO-SKU-001-8,SKU-001,2023-04-24,2023-05-04,2023-05-04,200
PO-SKU-002-8,SKU-002,2023-04-24,2023-05-04,2023-05-04,150
PO-SKU-003-8,SKU-003,2023-04-24,2023-05-04,2023-05-04,120
PO-SKU-001-9,SKU-001,2023-05-08,2023-05-18,2023-05-18,200
PO-SKU-002-9,SKU-002,2023-05-08,2023-05-18,2023-05-18,150
PO-SKU-003-9,SKU-003,2023-05-08,2023-05-18,2023-05-18,120
