date,sku_id,units_sold,customer_id,promo_flag,channel
2023-01-02,SKU-001,120,,1,retail
2023-01-02,SKU-002,80,,1,retail
2023-01-02,SKU-003,60,,1,retail
2023-01-09,SKU-001,125,,0,retail
2023-01-09,SKU-002,85,,0,retail
2023-01-09,SKU-003,65,,0,retail
2023-01-16,SKU-001,130,,0,retail
2023-01-16,SKU-002,90,,0,retail
2023-01-16,SKU-003,70,,0,retail
2023-01-23,SKU-001,135,,0,retail
2023-01-23,SKU-002,95,,0,retail
2023-01-23,SKU-003,75,,0,retail
2023-01-30,SKU-001,120,,0,retail
2023-01-30,SKU-002,80,,0,retail
2023-01-30,SKU-003,60,,0,retail
2023-02-06,SKU-001,125,,0,retail
2023-02-06,SKU-002,85,,0,retail
2023-02-06,SKU-003,65,,0,retail
2023-02-13,SKU-001,130,,1,retail
2023-02-13,SKU-002,90,,1,retail
2023-02-13,SKU-003,70,,1,retail
2023-02-20,SKU-001,135,,0,retail
2023-02-20,SKU-002,95,,0,retail
2023-02-20,SKU-003,75,,0,retail
2023-02-27,SKU-001,120,,0,retail
2023-02-27,SKU-002,80,,0,retail
2023-02-27,SKU-003,60,,0,retail
2023-03-06,SKU-001,125,,0,retail
2023-03-06,SKU-002,85,,0,retail
2023-03-06,SKU-003,65,,0,retail
2023-03-13,SKU-001,130,,0,retail
2023-03-13,SKU-002,90,,0,retail
2023-03-13,SKU-003,70,,0,retail
2023-03-20,SKU-001,135,,0,retail
2023-03-20,SKU-002,95,,0,retail
2023-03-20,SKU-003,75,,0,retail
2023-03-27,SKU-001,120,,1,retail
2023-03-27,SKU-002,80,,1,retail
2023-03-27,SKU-003,60,,1,retail
2023-04-03,SKU-001,125,,0,retail
2023-04-03,SKU-002,85,,0,retail
2023-04-03,SKU-003,65,,0,retail
2023-04-10,SKU-001,130,,0,retail
2023-04-10,SKU-002,90,,0,retail
2023-04-10,SKU-003,70,,0,retail
2023-04-17,SKU-001,135,,0,retail
2023-04-17,SKU-002,95,,0,retail
2023-04-17,SKU-003,75,,0,retail
2023-04-24,SKU-001,120,,0,retail
2023-04-24,SKU-002,80,,0,retail
2023-04-24,SKU-003,60,,0,retail
2023-05-01,SKU-001,125,,0,retail
2023-05-01,SKU-002,85,,0,retail
2023-05-01,SKU-003,65,,0,retail
2023-05-08,SKU-001,130,,1,retail
2023-05-08,SKU-002,90,,1,retail
2023-05-08,SKU-003,70,,1,retail
2023-05-15,SKU-001,135,,0,retail
2023-05-15,SKU-002,95,,0,retail
2023-05-15,SKU-003,75,,0,retail
2023-05-22,SKU-001,120,,0,retail
2023-05-22,SKU-002,80,,0,retail
2023-05-22,SKU-003,60,,0,retail
2023-05-29,SKU-001,125,,0,retail
2023-05-29,SKU-002,85,,0,retail
2023-05-29,SKU-003,65,,0,retail
2023-06-05,SKU-001,130,,0,retail
2023-06-05,SKU-002,90,,0,retail
2023-06-05,SKU-003,70,,0,retail
2023-06-12,SKU-001,135,,0,retail
2023-06-12,SKU-002,95,,0,retail
2023-06-12,SKU-003,75,,0,retail
2023-06-19,SKU-001,120,,1,retail
2023-06-19,SKU-002,80,,1,retail
2023-06-19,SKU-003,60,,1,retail
2023-06-26,SKU-001,125,,0,retail
2023-06-26,SKU-002,85,,0,retail
2023-06-26,SKU-003,65,,0,retail
2023-07-03,SKU-001,130,,0,retail
2023-07-03,SKU-002,90,,0,retail
2023-07-03,SKU-003,70,,0,retail
2023-07-10,SKU-001,135,,0,retail
2023-07-10,SKU-002,95,,0,retail
2023-07-10,SKU-003,75,,0,retail
2023-07-17,SKU-001,120,,0,retail
2023-07-17,SKU-002,80,,0,retail
2023-07-17,SKU-003,60,,0,retail
2023-07-24,SKU-001,125,,0,retail
2023-07-24,SKU-002,85,,0,retail
2023-07-24,SKU-003,65,,0,retail
